timestamp,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw
0.000000,0.588870,-1.393777,0.119748,10.474198,10.429196,-0.053182,0.000000,0.000000,0.785398
0.100000,1.441053,-0.242030,0.205819,10.459875,10.334215,-0.036621,0.114345,-0.027176,0.784381
0.200000,2.283774,1.158147,0.720840,10.441864,10.509112,0.040221,-0.052465,-0.090918,0.824600
0.300000,3.314931,2.335344,0.696363,10.365826,10.630449,0.115743,-0.116634,-0.069897,0.635093
0.400000,4.790462,3.393038,0.541435,10.651418,10.496083,0.108444,-0.070133,0.047682,0.604061
0.500000,5.873645,4.695439,0.569675,10.617019,10.455932,0.051137,-0.051128,0.042028,0.646246
0.600000,7.127225,5.506382,0.532273,10.478403,10.329120,0.013871,-0.025719,0.014665,0.692572
0.700000,8.251349,6.505836,0.732769,10.556130,10.348087,0.076174,-0.031210,0.029886,0.688044
0.800000,9.375364,7.607296,0.698140,10.472020,10.367536,0.079052,-0.033006,0.018497,0.710327
0.900000,10.451899,8.913342,0.645832,10.479591,10.372805,0.092644,-0.032616,0.019195,0.706983
1.000000,11.313328,9.897649,0.615423,10.428231,10.307842,0.109725,-0.026851,0.014845,0.691832
1.100000,12.138411,10.920203,0.603361,10.412593,10.246107,0.043412,-0.021916,0.015630,0.691647
1.200000,13.217644,12.067954,0.567322,10.410069,10.219153,0.000584,-0.021397,0.017056,0.693443
1.300000,14.216146,13.058932,0.584191,10.385845,10.116804,-0.028166,-0.013992,0.017047,0.697570
1.400000,15.254601,14.046482,0.535101,10.331487,10.171353,0.056745,-0.021355,0.012432,0.698444
1.500000,16.417398,15.075078,0.448999,10.443972,9.986722,0.091137,-0.011799,0.022313,0.777922
1.600000,17.464133,16.039621,0.543264,10.268084,10.006008,-0.129005,-0.013290,0.011926,0.710280
1.700000,18.341196,17.101329,0.475857,10.311089,9.891705,-0.018235,-0.009208,0.015311,0.737151
1.800000,19.379941,18.108632,0.630101,10.304134,9.742787,0.016386,-0.002986,0.015965,0.747789
1.900000,20.445387,19.173620,0.588106,10.270303,9.624762,0.023517,-0.000064,0.015268,0.724097
2.000000,21.443008,20.190195,0.435492,10.184758,9.585074,0.025414,-0.000588,0.011635,0.663082
2.100000,22.421890,21.224693,0.453196,10.193303,9.548225,0.033944,-0.003988,0.012238,0.690774
2.200000,23.398032,22.216135,0.571808,10.211720,9.509987,0.092076,-0.008050,0.013663,0.725368
2.300000,24.430430,23.163280,0.523116,10.120335,9.434846,0.134785,-0.007672,0.012017,0.669834
2.400000,25.445496,24.194536,0.576270,10.166926,9.319926,0.073106,-0.006751,0.013250,0.709390
2.500000,26.417651,25.045485,0.593156,10.124916,9.129683,0.087388,-0.001201,0.012431,0.694096
2.600000,27.432311,25.961456,0.601478,10.147882,9.001932,-0.065499,0.000089,0.012891,0.725347
2.700000,28.384057,26.902046,0.569145,9.986333,8.915972,-0.016442,0.001234,0.010750,0.619495
2.800000,29.436963,27.828795,0.607380,10.023555,8.873630,-0.057702,-0.002288,0.011847,0.656527
2.900000,30.425754,28.686651,0.606206,9.990762,8.569222,-0.013892,0.005777,0.011504,0.641724
3.000000,31.369205,29.498261,0.627043,10.101475,8.488466,0.070023,0.001346,0.012856,0.746191
3.100000,32.317844,30.368973,0.688646,10.015756,8.367241,0.083857,0.002576,0.012075,0.691942
3.200000,33.287412,31.209413,0.696621,9.915939,8.187523,0.012678,0.006330,0.011514,0.642232
3.300000,34.289160,32.047343,0.694825,9.970527,8.086813,0.105960,0.004419,0.011973,0.677876
3.400000,35.182875,32.907055,0.726907,9.839228,7.865873,0.124900,0.009359,0.010867,0.629082
3.500000,36.132163,33.648271,0.736395,9.746333,7.760774,0.071383,0.009385,0.011028,0.591460
