timestamp,lat,lon,alt,vn,ve,vd
0.000000,0.588870,-1.393777,0.119748,10.474198,10.429196,-0.053182
0.100000,0.807904,0.124807,0.499339,10.459654,10.331607,-0.028081
0.200000,1.430038,2.661123,2.900760,10.428033,10.548540,0.071813
0.300000,3.262532,2.948119,0.512386,10.371661,10.663200,0.154654
0.400000,7.357234,3.436282,-0.486593,10.781493,10.443665,0.097263
0.500000,6.020509,6.559900,0.744096,10.612072,10.420166,0.006023
0.600000,8.806079,3.671189,0.213075,10.420337,10.272419,-0.010798
0.700000,8.879557,6.175481,2.510622,10.596563,10.364006,0.107368
0.800000,10.150986,8.276475,0.260949,10.434370,10.370467,0.081585
0.900000,10.772639,11.927803,-0.048495,10.482176,10.369303,0.100989
1.000000,9.092491,9.314636,0.117613,10.410905,10.286083,0.110732
1.100000,9.266663,10.884995,0.386210,10.420171,10.223742,0.003855
1.200000,13.740528,13.829874,0.059613,10.416106,10.216424,-0.028332
1.300000,13.588580,12.731424,0.895959,10.387293,10.073394,-0.050114
1.400000,15.343932,13.545919,-0.350986,10.300981,10.216107,0.110367
1.500000,18.413656,15.544604,-1.170711,10.515590,9.912330,0.107512
1.600000,17.800828,15.367400,2.485483,10.186768,10.033917,-0.260984
1.700000,15.397846,18.431305,-0.775345,10.344329,9.852534,0.050702
1.800000,19.521759,18.716493,3.683664,10.311913,9.688655,0.031620
1.900000,21.234074,21.233604,-0.322399,10.258737,9.601637,0.020543
2.000000,20.976014,21.401025,-2.953721,10.140796,9.596798,0.028692
2.100000,21.486947,22.926292,0.799521,10.208214,9.576517,0.032105
2.200000,22.310120,23.055971,3.193420,10.232544,9.539784,0.112480
2.300000,24.886363,23.134839,-0.999781,10.089755,9.440914,0.156246
2.400000,25.395922,26.622524,1.739687,10.197226,9.302098,0.040835
2.500000,25.316533,23.287354,0.803366,10.114682,9.073864,0.095686
2.600000,27.405901,26.231455,1.025128,10.172141,8.991971,-0.156089
2.700000,27.007909,28.151626,-0.323247,9.913369,8.922438,0.020605
2.800000,30.900398,28.812283,1.923148,10.056721,8.912424,-0.083595
2.900000,30.079383,28.508223,0.595867,9.982494,8.472251,0.012333
3.000000,29.248279,28.114383,1.084044,10.183415,8.518013,0.108453
3.100000,30.602402,31.270773,2.394120,9.974002,8.360213,0.090161
3.200000,32.504315,31.722810,0.925545,9.878575,8.157959,-0.026899
3.300000,34.424875,32.853181,0.276979,10.009398,8.096969,0.156834
3.400000,31.957043,35.204221,1.389366,9.793399,7.816168,0.142026
3.500000,35.126438,32.185386,0.808209,9.722960,7.777334,0.044861
3.600000,36.057834,32.352253,-0.838492,9.803745,7.699884,0.042447
3.700000,38.294168,36.812422,1.554303,9.678885,7.540654,-0.112847
3.800000,36.636347,34.552824,-1.107803,9.606259,7.430169,0.144759
3.900000,38.076720,37.537437,-1.410967,9.621321,7.203542,0.057703
4.000000,40.879579,38.900542,-1.189688,9.730679,6.941561,0.136939
4.100000,43.219300,36.693901,-0.601103,9.345440,6.822142,0.000481
4.200000,43.877409,40.937124,0.873251,9.430911,6.708026,-0.082012
4.300000,43.758853,39.533565,-0.329626,9.234540,6.247256,-0.025438
4.400000,44.165558,40.775947,1.682859,9.296473,6.317418,-0.061523
4.500000,44.171444,37.742514,2.060712,9.166473,6.114167,-0.013095
4.600000,44.689268,39.823754,1.781579,9.334175,5.955371,-0.043996
4.700000,49.558420,41.378733,-2.046372,9.283958,5.618157,-0.062464
4.800000,48.754829,41.634547,-2.664003,9.114316,5.685655,-0.126414
4.900000,50.481487,42.675049,1.843259,9.013986,5.493707,0.110664
5.000000,47.633447,44.007986,-0.485880,9.136948,5.345658,-0.075421
5.100000,52.899137,44.539375,-1.391268,9.118490,5.055765,-0.041784
5.200000,52.989514,43.547788,-3.264872,9.000466,4.788096,0.055494
5.300000,53.808039,43.645317,0.057760,8.755196,4.686821,0.078430
5.400000,54.358812,44.390095,-1.681437,9.001976,4.626800,0.056024
5.500000,51.435773,44.626294,1.323972,8.701499,4.216390,0.088305
